"","SKA03_16","SKA03_19","SKA03_20","SKA03_27","SKA03_28","SKA03_29","SKA03_36","SKA03_38","SKA03_39","SKA03_41","SKA03_43","SKA03_45","SKA03_46","SKA03_48","SKA03_49","SKA03_56","SKA03_58","SKA03_59"
"TRL-CAG1-4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRG-GCC1-4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRE-CTC1-5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRG-TCC2-5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRD-GTC2-5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRL-CAG1-5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRG-GCC4-1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105371473",2,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0
"FCGR2A",10,2,10,10,2,1,2,4,6,2,8,4,12,11,6,22,22,8
"TRG-GCC2-1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HSPA6",26,6,32,26,10,40,76,84,172,16,6,22,12,14,2,0,4,6
"TRL-CAG1-6",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"TRG-TCC2-6",6,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0
"TRN-GTT1-1",0,0,0,2,0,0,0,0,0,0,2,0,4,2,0,0,0,0
"FCGR3A",4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
"FCGR2C",2,0,0,0,0,2,0,0,4,0,0,0,0,2,0,2,0,2
"HSPA7",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"TRL-CAA6-1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FCGR3B",0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FCGR2B",0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"RPL31P11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FCRLA",0,0,2,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0
"FCRLB",14,6,12,16,8,2,0,6,0,12,12,7,10,4,18,8,8,16
"DUSP12",1337,1236,1908,1147,540,580,784,787,737,1285,1164,1473,1150,1039,1170,670,583,705
"LOC102724329",4,0,4,4,2,0,4,0,0,0,2,0,8,2,2,0,4,2
"ATF6",1129,1186,1861,2126,572,655,1184,1051,1135,1747,1795,1975,1948,1839,1808,1071,922,1065
"OLFML2B",2,6,24,19,0,0,4,12,14,6,6,10,4,2,2,12,4,14
"NOS1AP",204,112,158,209,92,89,87,86,105,153,169,211,115,105,87,77,90,73
"LOC105371475",58,10,12,77,24,38,8,0,0,2,6,12,22,10,12,0,0,12
"MIR4654",0,0,0,1,0,0,4,0,0,0,0,0,2,0,0,0,0,0
"MIR556",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SPATA46",4,3,2,14,0,0,0,2,2,5,2,1,0,6,0,0,2,2
"C1orf226",265,327,445,491,94,129,257,254,217,410,438,416,314,339,269,366,317,291
"SH2D1B",0,6,8,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"SLAMF6P1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105371497",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UHMK1",2460,2622,3569,7226,1185,1218,4068,4408,3890,3068,4577,4948,5178,4577,5440,4147,4578,3624
"LOC102724358",0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
