"","SKA03_16","SKA03_19","SKA03_20","SKA03_27","SKA03_28","SKA03_29","SKA03_36","SKA03_38","SKA03_39","SKA03_41","SKA03_43","SKA03_45","SKA03_46","SKA03_48","SKA03_49","SKA03_56","SKA03_58","SKA03_59"
"POGZ",1985,1432,2442,4028,1241,1025,2395,2042,2400,1422,1880,1918,1888,1303,1607,1964,2180,1902
"RNY4P25",1,0,4,7,1,0,2,0,1,0,0,0,0,1,0,0,0,0
"CGN",4212,3711,6778,6574,2145,1634,5795,5856,6680,5199,5510,6295,5620,4763,4748,8478,10003,9676
"TUFT1",3189,4186,6507,3045,854,916,2204,2009,2102,3428,3596,4233,2451,1963,1990,1694,1570,1509
"MIR554",2,2,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"RPS10P6",10,8,7,10,6,2,1,0,0,1,0,8,1,0,0,0,0,4
"SNX27",549,511,784,2343,347,207,1172,1200,1093,586,839,910,1471,1098,1155,978,1208,986
"RNU6-1062P",0,0,2,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"CELF3",23,21,43,96,47,38,66,90,105,40,30,23,42,26,22,233,458,606
"RIIAD1",97,37,62,38,20,24,21,38,40,34,34,21,26,20,24,97,53,111
"MRPL9",3211,2265,4048,1929,1356,1420,1749,1720,1759,2558,1936,2188,2339,2333,2055,1996,1833,1834
"OAZ3",5,12,3,15,6,2,8,6,21,3,5,6,5,13,6,19,17,19
"TDRKH",166,182,212,498,119,144,766,872,966,306,316,314,469,465,476,1125,1179,1033
"LOC100270670",0,0,0,4,4,0,0,0,2,0,0,0,0,0,0,0,2,0
"TDRKH-AS1",26,6,18,27,10,2,30,42,18,8,16,26,18,28,8,52,62,70
"LINGO4",0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RORC",0,0,6,6,0,0,0,0,0,0,0,0,0,2,0,2,4,0
"C2CD4D",18,17,7,6,9,8,5,8,1,8,3,4,11,6,12,8,12,17
"C2CD4D-AS1",4,4,5,6,4,10,5,4,3,0,0,5,0,0,4,2,2,0
"THEM5",2,0,2,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0
"THEM4",1284,1156,1546,1263,745,816,1559,1578,1849,1161,1086,1007,1073,1117,1061,1849,1753,1943
"KRT8P28",6,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,8
"S100A10",49485,32740,52616,28298,23985,24884,35016,36061,40950,34075,28524,31398,33517,31199,31052,53060,48647,60408
"LOC105371441",325,131,338,515,246,213,184,197,197,148,114,125,203,164,140,241,257,251
"LOC105371442",4,4,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0
"NBPF18P",8,0,10,9,6,3,3,6,2,8,1,7,1,2,2,0,8,2
"S100A11",8582,5203,8337,5027,3998,3773,4110,3945,4371,6105,5400,5704,6478,5962,6185,6034,4742,5006
"LOC101927949",23,4,23,21,5,14,5,2,3,5,6,4,2,4,6,2,6,14
"SPTLC1P4",0,2,2,1,4,7,0,0,0,2,0,0,0,0,0,4,0,2
"LOC100131107",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TCHHL1",0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
"TCHH",16,8,30,26,10,10,12,8,20,6,12,20,22,18,26,46,30,18
"PUDPP2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RPTN",0,0,0,0,2,0,0,0,0,2,0,0,2,0,0,0,0,0
"LOC112268240",12,2,10,1,0,1,2,0,3,4,3,2,0,0,4,4,1,2
"HRNR",12,2,26,40,20,2,3,0,0,11,6,9,8,24,26,0,2,0
"FLG",19,8,18,107,34,17,48,21,29,12,36,45,53,29,49,42,55,24
"FLG-AS1",20,14,13,17,0,4,14,10,6,12,13,18,22,18,11,16,14,4
"FLG2",2,0,0,2,0,2,0,0,0,0,0,2,0,2,0,0,0,0
"HMGN3P1",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CRNN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LCE5A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CRCT1",40,34,10,10,4,4,0,2,0,26,12,22,10,12,18,20,8,8
"LCE3E",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LCE3D",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LCE3C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LCE3B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LCE3A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LINC00302",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"LCE2D",0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0
"LCE2C",4,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0
"LCE2B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LCE2A",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LCE4A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C1orf68",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KPRP",2,4,2,4,0,2,6,0,0,0,2,2,0,0,0,0,2,2
"LCE1F",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"LCE1E",0,0,0,0,0,0,0,2,0,0,4,0,2,0,0,2,0,0
"LCE1D",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LCE1C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LCE1B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LCE1A",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"LCE6A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105371444",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105371445",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SMCP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IVL",2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LINC01527",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SPRR4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SPRR1A",4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SPRR3",2,0,4,0,0,0,0,4,0,0,2,0,4,0,6,0,0,0
"LOC105371446",0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0
"SPRR1B",8,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SPRR2D",8,4,8,0,0,0,0,0,0,0,8,4,0,0,0,0,0,0
"SPRR2A",12,10,12,0,4,0,0,0,0,10,6,14,2,2,6,0,0,0
"SPRR2B",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SPRR2E",0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"SPRR2F",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SPRR2C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SPRR2G",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC101928009",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LELP1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PRR9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RPLP0P4",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LORICRIN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PGLYRP3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PGLYRP4",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"S100A9",62,32,68,4,10,6,0,2,2,40,28,24,60,38,56,98,124,130
"S100A12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LAPTM4BP1",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"S100A8",36,0,26,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"S100A7A",4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S100A7L2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S100A7",14,0,34,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"S100A6",2718,1600,2466,811,1118,1024,967,998,984,1570,1201,1197,1314,1450,1193,3299,2325,2531
"S100A5",2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,2
"S100A4",147,105,115,40,106,99,165,114,120,89,37,59,62,58,66,395,308,272
"LOC101928034",0,4,4,2,2,2,0,2,2,0,0,0,0,0,0,2,0,0
"S100A3",74,24,81,45,6,21,15,6,5,39,39,26,24,23,39,13,9,17
"S100A2",134,27,130,34,58,53,10,6,6,44,24,40,40,24,30,16,25,4
"S100A16",4285,3196,4718,3130,2155,2261,4243,3878,3818,3919,3232,3278,3920,3495,3538,4687,3182,3801
"S100A14",7966,4718,8161,3020,3206,3182,6419,5784,6231,4962,3655,3848,4227,4152,3575,8360,6476,7724
"S100A13",1273,606,1275,439,819,737,835,769,870,631,433,407,469,556,579,1212,995,1231
"S100A1",99,33,109,34,23,33,21,29,28,93,77,29,39,48,45,47,51,81
"CHTOP",3490,2408,3810,2019,2088,2070,1921,2010,2153,2532,2001,2251,2294,2203,2062,2441,2736,2648
"SNAPIN",911,958,1251,1046,477,499,968,1050,999,1063,993,864,967,963,910,1162,1053,1232
"ILF2",13268,11263,15704,10051,6054,6923,9405,8962,8458,12176,9941,11219,11850,11400,10907,10135,9759,9582
"TRX-CAT1-1",4,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0
"NPR 1.00",33,18,46,36,4,10,46,56,29,34,34,18,34,14,32,22,4,18
"MIR8083",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GEMIN2P1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"INTS3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SLC27A3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC343052",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GATAD2B",48,14,36,69,24,4,56,32,49,18,29,58,27,27,22,17,42,32
"LOC645965",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"LOC101928059",3,0,4,2,2,5,0,0,0,0,0,2,0,3,0,0,0,5
"DENND4B",805,654,959,1952,703,614,899,760,829,813,854,937,1282,1028,1224,700,664,616
"CRTC2",975,730,1273,1171,540,555,680,644,713,812,846,897,934,727,698,939,889,903
"SLC39A1",7724,9754,12241,9485,3001,3950,7291,7389,7023,10743,10049,10898,10423,9727,9797,9072,7949,8108
"MIR6737",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CREB3L4",123,147,168,237,163,126,107,147,117,164,126,158,197,176,186,221,176,198
"JTB",6098,4691,6263,3749,3708,3755,3099,3407,3425,4347,3623,3827,4131,4478,4050,4426,3731,3942
"RAB13",10998,3631,8308,3085,5013,4638,2973,2866,3171,3441,2375,2632,3234,3066,2784,4486,4232,4789
"RPS27",69569,45482,63958,26166,40426,39909,21893,22068,23330,31061,25822,27511,29299,25190,25217,33904,29807,35608
"NUP210L",11,2,6,27,13,7,1,6,2,2,0,11,3,1,0,4,1,1
"RPL34P5",8,0,8,0,4,0,0,0,0,0,0,0,4,0,0,0,1,1
"MIR5698",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TPM3",21841,24152,33316,26333,9264,9347,21407,21293,22104,27006,25348,28350,28732,28143,26857,22014,23401,20333
"MIR190B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C1orf189",0,2,0,5,0,2,1,1,0,0,2,0,0,0,0,2,0,4
"C1orf43",5543,5221,7886,5664,2767,2843,4924,5274,5440,5483,4682,5486,6022,5539,5721,7097,7025,7405
"UBAP2L",4186,4049,6649,8654,2679,2317,5498,5743,5678,5006,5554,5841,7652,7387,7400,4937,5657,5143
"SNORA58B",4,4,1,15,0,2,5,12,10,1,4,2,2,4,7,10,11,11
"HAX1",2969,3217,4037,3458,1752,1826,2500,2616,2507,4063,3249,3382,4271,4074,3873,2955,2634,2784
"AQP10",78,40,62,35,18,15,22,18,36,56,45,44,20,42,24,36,36,51
"ATP8B2",50,64,56,105,38,38,86,76,126,154,154,170,74,72,72,132,70,124
"RNU7-57P",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RPSAP17",2,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0,2,2
"IL6R-AS1",10,0,4,0,0,5,2,0,6,2,0,10,6,2,8,0,0,16
"IL6R",706,435,588,639,229,246,203,203,186,410,479,488,452,327,402,191,198,171
"PSMD8P1",0,0,2,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"SHE",2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
"TDRD10",2,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"UBE2Q1",2595,2572,3996,2942,1329,1291,1971,1811,2141,2531,2234,2444,2733,2712,2767,2303,2311,2409
"UBE2Q1-AS1",1,3,1,3,0,1,1,3,1,0,0,0,1,1,0,0,0,0
"LOC107985206",0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHRNB2",6,2,4,30,6,1,2,4,4,0,2,2,2,2,10,4,8,0
"ADAR",1251,1627,2502,7110,781,578,4076,4990,5049,2103,3427,4040,4771,4065,4724,4088,5166,3894
"KCNN3",0,0,4,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0
"LOC105371449",0,2,2,6,4,4,0,2,2,0,0,2,4,3,0,0,2,4
"PMVK",2010,1347,2075,1019,1273,1081,797,990,952,1396,1085,1000,1139,1346,1084,1389,1379,1533
"PBXIP1",356,228,418,450,396,338,850,1071,1162,532,406,398,562,560,447,2589,2407,3113
"PYGO2",1452,1611,1962,1969,934,931,1727,1782,2031,1690,1593,1765,1841,1705,1613,2244,2374,2362
"LOC101928120",13,10,23,15,6,5,35,7,20,28,6,21,23,11,13,37,10,59
"SHC1",821,1233,1426,1469,275,320,1082,979,1011,1535,1685,1981,1588,1593,1649,1164,1340,1162
"CKS1B",3584,3117,4179,3228,2206,2409,3518,3699,3422,3780,3026,3290,4570,4190,3846,4096,3871,3404
"MIR4258",2,0,0,0,3,0,5,0,2,0,2,3,4,2,0,1,0,0
"FLAD1",1333,1428,1990,1521,872,769,857,900,926,1457,1465,1637,1600,1598,1634,848,836,883
"LENEP",2,0,0,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0
"ZBTB7B",1414,1337,1743,1920,714,728,1099,1165,1188,1086,1221,1146,1600,1396,1389,1505,1522,1627
"DCST2",4,2,4,0,2,0,0,0,0,0,3,4,3,0,0,0,0,1
"DCST1",2,0,6,5,2,4,0,0,4,0,6,0,0,5,2,1,0,2
"DCST1-AS1",10,8,12,17,18,16,11,15,25,14,10,8,15,8,10,28,13,19
"ADAM15",1544,1512,1889,1672,1018,996,943,1079,1087,1574,1595,1373,1554,1564,1498,1329,1329,1246
"EFNA4",161,206,215,164,118,167,150,178,229,161,125,102,175,225,159,306,275,265
"EFNA3",14,30,10,58,33,16,52,59,100,16,18,18,50,42,56,41,67,74
"EFNA1",416,308,376,271,198,186,318,300,362,275,242,228,277,218,248,793,624,880
"SLC50A1",1185,894,1373,776,872,803,1480,1599,1603,1078,790,848,1054,1006,965,2587,2432,2769
"DPM3",304,140,316,131,236,158,156,254,230,160,82,84,182,186,164,396,336,426
"HMGN2P18",2,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0
"KRTCAP2",2955,2052,2984,1623,1681,1595,1451,1492,1551,2098,1613,1715,1965,1962,1674,2194,1714,2118
"TRIM46",0,0,2,0,0,2,0,0,0,0,4,3,1,2,0,0,6,0
"MUC1",64,36,60,48,22,33,24,20,32,32,33,24,16,21,36,73,71,61
"MIR92B",0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"THBS3",20,15,26,46,14,5,27,12,22,4,19,33,24,19,14,10,19,25
"THBS3-AS1",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,4
"MTX1",829,1224,1299,1036,493,511,935,876,1050,1366,1214,1339,1342,1342,1245,1233,1156,1311
"GBAP1",18,9,18,16,6,22,22,33,16,21,30,16,30,18,8,8,10,14
"GBA",200,132,216,128,142,102,108,118,119,198,100,164,198,141,100,174,180,194
"FAM189B",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"SCAMP3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CLK2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HCN3",0,2,2,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0
"PKLR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4
"FDPS",1351,2366,2326,1919,697,840,4713,5098,5783,2687,2400,2361,2232,2320,2173,6797,7043,6621
"RUSC1-AS1",81,9,37,60,56,65,83,31,55,23,9,14,44,18,12,53,45,41
"RUSC1",1804,1554,2270,1834,823,738,1244,1111,1371,1652,1458,1620,1721,1577,1671,1455,1474,1416
"ASH1L",1602,1006,2011,4497,1023,956,1670,1545,1525,1079,1654,1771,2208,1472,1813,1620,2266,1841
"MIR555",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNU6-106P",0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0
"POU5F1P4",4,0,2,14,2,2,2,0,0,0,2,0,3,0,2,0,0,0
"ASH1L-AS1",45,28,84,39,51,49,23,26,23,40,20,31,19,30,20,67,33,45
"LOC101929703",10,2,5,8,25,20,0,6,4,8,2,10,6,0,8,4,0,0
"LOC284620",2,0,0,10,0,2,3,1,0,0,8,1,3,2,0,0,0,2
"LOC105371452",2,0,2,7,10,2,0,2,1,1,2,0,0,3,0,10,1,1
"MSTO1",979,897,1275,1066,620,440,491,466,490,1049,915,1057,1032,1056,844,653,523,540
"LOC100419798",10,4,13,10,8,0,12,0,3,5,8,12,3,5,2,4,4,7
"LOC100419799",0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"YY1AP1",1909,1376,2350,2356,1041,841,1925,1794,1915,1529,1708,1783,1837,1620,1704,2394,2420,2357
"SCARNA26A",0,0,0,2,0,0,0,0,0,0,0,0,1,2,0,0,1,2
"DAP3",6585,6502,9572,5459,2251,2644,4337,4216,4297,7244,6004,6898,5924,6007,5733,5070,5102,5012
"LOC100505728",22,2,5,4,0,1,5,0,1,3,1,0,10,12,0,7,7,4
"MSTO2P",58,61,52,76,48,18,29,8,20,60,38,22,35,35,49,37,36,41
"GON4L",742,463,968,1524,557,367,690,590,811,549,646,761,1025,730,816,746,750,677
"SCARNA26B",4,0,2,3,1,2,0,0,0,0,2,0,0,2,0,0,1,0
"LOC100132108",7,4,3,22,8,6,0,4,0,2,0,4,2,2,6,0,2,4
"SYT11",16,4,6,4,0,2,8,20,10,6,2,0,0,0,2,4,8,8
"RIT1",789,738,1006,1043,341,419,800,1001,915,770,662,712,623,591,604,1046,1114,1038
"KHDC4",369,289,590,1078,321,330,584,597,575,513,499,589,597,634,720,535,666,500
"SNORA80E",0,0,2,4,1,4,0,0,0,0,0,0,2,0,1,0,0,0
"SCARNA4",4,1,6,11,12,14,0,3,2,1,4,2,0,10,0,4,0,2
"LOC107985207",1,6,6,8,0,6,0,4,2,0,2,2,0,0,0,4,2,4
"RXFP4",2,0,0,2,2,0,0,0,0,0,2,0,0,0,0,6,8,0
"ARHGEF2",1009,853,1323,1473,570,408,794,870,931,1065,1145,1229,1233,1080,1123,1189,1170,1238
"MIR6738",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC107985209",8,2,6,20,4,2,6,0,4,4,4,5,8,2,0,12,6,4
"ARHGEF2-AS1",0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0
"LOC107985208",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SSR2",4802,4729,5842,3558,2356,2643,4004,4112,4125,4893,4023,4157,4677,4580,4438,6026,5352,5625
"LOC105371729",4,2,12,4,0,1,5,8,9,3,6,4,8,2,4,1,0,0
"UBQLN4",2394,2066,2787,3682,1887,1853,2927,2766,3021,2106,2155,2167,3263,2954,2810,3304,3017,2917
"LAMTOR2",1784,935,1527,757,1017,1082,793,876,894,1044,698,750,994,998,919,1246,1054,1353
"RAB25",3875,3604,4966,3319,1938,2042,2413,2703,2963,3383,2740,3337,3476,3065,3044,3482,2926,3529
"MEX3A",232,94,158,480,262,158,222,253,318,100,125,72,452,324,334,203,230,220
"LMNA",8479,6989,10883,7673,4374,3974,6948,6577,7152,7442,6730,7451,8406,7371,7175,9204,8222,8416
"SEMA4A",2,0,2,6,0,2,2,4,10,0,2,0,2,2,0,0,0,2
"SLC25A44",1133,1291,1750,2131,883,758,1793,1610,1810,1428,1531,1477,1733,1530,1605,1966,2199,1991
"PMF1",1204,688,1142,544,718,581,592,565,501,690,437,495,615,551,505,777,609,740
"PMF1-BGLAP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BGLAP",0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0
"PAQR6",15,6,33,28,25,18,18,11,18,16,11,12,6,12,2,13,11,30
"SMG5",7235,7336,11047,9911,4304,3736,7378,7544,6914,8573,8585,9268,8693,7915,7832,7698,7050,6694
"TMEM79",131,143,144,232,133,123,154,157,163,214,163,210,268,214,186,203,260,251
"GLMP",1771,1809,2166,2058,1339,1181,1726,2141,2210,1733,1704,1665,2245,2014,1836,3753,3224,4377
"VHLL",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CCT3",29267,27744,38060,26180,13469,13726,17264,17355,17937,27450,24227,26276,26344,26070,26196,17207,16281,15874
"TSACC",14,16,38,27,21,21,30,31,13,44,28,14,25,22,22,40,17,26
"RHBG",74,58,54,73,69,41,91,132,212,48,58,55,53,36,61,275,249,434
"MIR9-1HG",10,6,18,6,2,3,1,4,6,6,0,2,4,2,2,4,2,4
"MIR9-1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MEF2D",575,522,846,1110,502,409,652,629,763,530,540,641,543,385,420,609,516,636
"IQGAP3",912,742,1188,2480,786,577,1121,1047,1162,1180,1426,1614,2313,1828,1970,1042,1132,900
"TTC24",0,0,0,0,0,4,0,0,0,0,0,4,0,4,0,0,0,8
"NAXE",8007,6344,8405,4484,4594,4522,3839,4041,4172,6216,4774,4886,5542,5625,5020,5553,4984,5106
"GPATCH4",6717,2001,5956,2262,4046,3867,1443,1110,1223,2110,1608,1812,2548,2356,2127,1107,1044,1133
"HAPLN2",2,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0
"LOC101928177",0,0,0,0,0,8,0,0,0,1,0,0,0,0,0,0,0,0
"LOC105371453",208,199,319,116,79,53,38,24,26,181,200,212,248,179,158,173,175,184
"BCAN",26,16,12,4,5,0,0,0,0,0,1,2,1,2,0,4,0,0
"NES",5786,4216,8716,5290,4115,3401,2746,2444,2812,4050,4140,4098,4934,3980,4532,2240,2063,2016
"CRABP2",828,690,1250,514,362,348,362,372,382,694,508,601,630,604,508,442,242,310
"ISG20L2",4422,2363,4506,3076,1683,1741,1560,1474,1636,2128,2137,2267,3277,2647,2935,1440,1383,1699
"RRNAD1",383,286,476,442,185,289,365,339,447,369,284,347,439,408,389,643,625,639
"MRPL24",2230,1754,2504,1559,1497,1659,1619,1540,1694,1794,1450,1504,1902,1934,1514,1841,1613,1532
"HDGF",22185,22007,29846,27334,14369,13636,23411,22817,22762,24667,20977,22069,29788,26587,26419,27453,26792,24947
"PRCC",5532,3996,5816,4453,3049,2985,3788,3185,3510,4093,3394,3668,4709,4118,4027,4328,3594,3650
"SH2D2A",331,236,300,331,266,262,138,134,171,228,176,243,394,365,352,108,121,132
"NTRK1",2,0,0,4,0,0,6,0,0,0,0,0,0,0,0,0,2,0
"INSRR",0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
"PEAR1",34,14,46,52,12,10,10,16,8,26,48,75,24,30,24,9,2,6
"LRRC71",13,0,6,2,11,1,6,0,0,0,0,4,0,0,0,0,0,0
"ARHGEF11",1230,1003,2071,2676,669,628,1372,1218,1382,1221,1619,1796,1904,1533,1566,1399,1581,1505
"MIR765",0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,2
"LOC102724222",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SMU1P1",0,0,2,0,0,0,0,14,4,0,2,0,2,0,4,4,2,0
"KRT8P45",36,54,84,38,20,16,32,38,50,48,40,46,36,36,27,54,56,40
"ETV3L",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ETV3",784,993,1357,1768,390,364,870,978,914,1016,1020,1070,1188,1093,1194,858,1100,844
"CYCSP52",0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"LOC107985211",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"LOC105371456",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LINC02772",0,0,0,0,4,2,0,0,6,2,0,1,0,6,0,2,6,8
"LOC101928202",0,0,2,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0
"FCRL5",0,0,0,2,0,0,0,2,0,2,0,0,0,0,0,2,0,0
"FCRL4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105371457",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FCRL3",2,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0,0
"FCRL2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FCRL1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CD5L",0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0
"MRPS21P2",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC100996284",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105371458",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105371459",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KIRREL1",4601,4900,6841,9366,2098,1935,4953,4501,4910,5103,6395,6915,7284,5817,6674,4062,4299,3639
"KIRREL1-IT1",168,28,84,117,175,165,14,0,5,12,15,28,47,10,20,11,5,0
"LINC01704",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105371460",2,4,2,8,0,0,0,2,0,0,0,7,0,0,4,0,0,0
"ELL2P1",2,0,2,2,0,2,0,2,0,2,2,0,6,0,2,4,0,6
"CD1D",6,6,4,2,2,0,0,0,0,2,0,3,4,2,0,2,4,0
"RPS10P8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CD1A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CD1B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CD1C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CD1E",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
