"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MMP21",0.441588897649087,-0.713631342048776,2.45390511896568,-0.290814561872535,0.771193147698214,0.999857848737763
"UROS",1145.97219797984,0.0564977515237559,0.0962954532668635,0.586712556066212,0.557396773532058,0.999857848737763
"MIR4484",0.331572570471592,1.42764832829496,3.01925130369473,0.472848459665451,0.636321298106639,0.999857848737763
"BCCIP",3038.82749853718,0.0371860566509612,0.115136971904497,0.322972334914333,0.746716193763931,0.999857848737763
"DHX32",747.699770163518,0.0154179412837604,0.125954373047998,0.122408939925293,0.902575158719864,0.999857848737763
"FANK1",45.7977807825346,0.00953470421519036,0.328358101436566,0.0290375177998534,0.976834668323373,0.999857848737763
"GNG10P1",0.107091572958291,0.756890405344357,3.0414330302705,0.248859796619306,0.803469234716267,0.999857848737763
"ADAM12",0.214183145916582,1.40916575825026,3.0407983265402,0.46341967040399,0.643063581835172,0.999857848737763
"C10orf90",0.1127855035087,0.756890405344357,3.0414330302705,0.248859796619306,0.803469234716267,0.999857848737763
"LOC105378550",7.18420945919782,1.07367476510016,0.987942077039918,1.08677906332031,0.277134462692661,0.999857848737763
"DOCK1",1519.90309618524,0.0388327031084918,0.166108956555244,0.233778502458878,0.815156939720937,0.999857848737763
"LOC107984059",1.79938118852401,-2.69345759668654,1.31662787092495,-2.04572427499529,0.0407835060084916,0.999857848737763
"LOC105378552",6.96738895165423,-0.720397066549829,0.854932195044384,-0.842636492958871,0.399431774961279,0.999857848737763
"INSYN2A",25.7922161436576,-0.689298439297676,0.666876619985083,-1.03362214034898,0.30131284475811,0.999857848737763
"LOC105378551",1.86493291269137,-1.83766412398941,1.20649227238727,-1.52314620329334,0.127722131672224,0.999857848737763
"CLRN3",127.920674952767,0.0285393006702167,0.503106876462469,0.056726119251017,0.954763367358083,0.999857848737763
"PTPRE",110.582237356368,0.0112198943733063,0.175372263583846,0.063977587698422,0.94898807266585,0.999857848737763
"AS-PTPRE",0.528246247337123,-1.52781529461909,2.71690603560966,-0.562336449842018,0.57388680852432,0.999857848737763
"MKI67",9218.97402935849,-0.00396818535814986,0.216434073364088,-0.0183343837523888,0.985372097804038,0.999857848737763
"LOC105378555",0.0803615191543955,-0.525490358188563,3.0414330302705,-0.17277722473535,0.862826539818964,0.999857848737763
"MGMT",1625.55367914245,0.113251218164795,0.238997208858235,0.473860003243687,0.635599742649797,0.999857848737763
"LOC105378560",17.13625280241,-0.287381803039603,0.498167878105443,-0.576877425603052,0.564022261286325,0.999857848737763
"LINC02666",9.74511499852616,-1.09694464043054,0.68267127497751,-1.60684165371786,0.108089108243602,0.999857848737763
"LOC107984281",0.351467957351421,-0.836673699593441,2.96236244161336,-0.282434616318513,0.777610274966511,0.999857848737763
"EBF3",183.9541483595,0.00191522365751951,0.209458696562841,0.00914368173271291,0.992704499175769,0.999857848737763
"MIR4297",0.0410037163096837,-0.204895908722381,3.0414330302705,-0.0673682131689606,0.946288573897463,0.999857848737763
"LOC105378558",5.5474559656082,-0.16909216980013,0.857997627548716,-0.19707766591759,0.843766760685789,0.999857848737763
"C10orf143",6.20817642493286,-0.58944706447641,0.694375838537226,-0.848887636583296,0.395943819015851,0.999857848737763
"CTAGE7P",2.50557810487269,-1.23165386019068,1.10853890702239,-1.1110605612382,0.2665422823191,0.999857848737763
"LOC102724883",3.33235918770178,-0.400709821611725,1.12881247222128,-0.354983517167566,0.722601939533267,0.999857848737763
"LOC105378561",0.572137689037541,1.79213408919036,2.65760199030696,0.674342544792932,0.500093561501365,0.999857848737763
"GLRX3",5625.03046545305,0.0221222376251242,0.140389939709958,0.15757708615609,0.874790060562221,0.999857848737763
"LINC02646",1.7703147708121,0.93941767958198,1.42499020337753,0.659245009092244,0.50973844853698,0.999857848737763
"LINC01164",0.859016365075712,-1.01163893186024,2.22637459695962,-0.454388463307905,0.649549254430947,0.999857848737763
"LOC100134362",2.09658830738562,-1.31297738378527,1.50394397243659,-0.873022803940011,0.382650648284391,0.999857848737763
"PPP2R2D",781.469768092183,-0.0728918537153746,0.14519525929416,-0.502026402719517,0.615648948756805,0.999857848737763
"BNIP3",281.356587419666,0.0818760092776745,0.156255272667032,0.523988777339666,0.600286345597021,0.999857848737763
"JAKMIP3",1.76583114866949,-0.924579020652433,1.35838338928172,-0.680646589135139,0.496095139858748,0.999857848737763
"DPYSL4",4.05458227061853,-0.651433831055776,1.19723130176486,-0.544116938886817,0.586361004790473,0.999857848737763
"STK32C",467.149202854376,0.139485565436549,0.192924575886911,0.723005686524422,0.469676390572416,0.999857848737763
"LRRC27",63.9794897231358,0.0326515363146641,0.248298734144293,0.131501018026493,0.895378981299675,0.999857848737763
"PWWP2B",438.178210666638,0.0531774103685661,0.14746815087754,0.360602679643862,0.718396485859419,0.999857848737763
"LOC105378568",1.44839978477683,-0.476945842476338,1.41039845032395,-0.338163901390271,0.735239677556541,0.999857848737763
"LINC02870",2.06396783729237,-0.0182271149921673,1.36774441800638,-0.0133264042259701,0.989367382531172,0.999857848737763
"LOC105378570",2.5295670251315,-0.706203697059692,1.08190507692878,-0.652740903170916,0.513923328084859,0.999857848737763
"LOC105378569",0.701193376114541,1.62206066466112,2.26543270018952,0.716004789957089,0.473988391248316,0.999857848737763
"LOC107984282",4.09603128951904,0.156392284466548,0.817898559122457,0.191212324220677,0.848359248428643,0.999857848737763
"INPP5A",827.099047824606,-0.0406339910353333,0.199716628188123,-0.203458226808527,0.838776892961078,0.999857848737763
"NKX6-2",0.822115077007786,0.44301894401052,2.23163897177815,0.198517300339816,0.842640350386287,0.999857848737763
"CFAP46",0.45318141200688,-0.177832121976598,2.16820538166663,-0.0820181166785521,0.934632306965939,0.999857848737763
"LINC01166",0.114160934385974,0.756890405344355,3.0414330302705,0.248859796619306,0.803469234716267,0.999857848737763
"LINC01168",0.109887752815003,0.756890405344357,3.0414330302705,0.248859796619306,0.803469234716267,0.999857848737763
"LOC107984283",0.223204300052371,1.40916575825026,3.0407983265402,0.46341967040399,0.643063581835172,0.999857848737763
"LOC112268067",4.19444676154904,-0.186126895368923,0.820240585630618,-0.226917441820835,0.820487939186655,0.999857848737763
"ADGRA1",0.660157040779735,-0.867464174188704,2.0239584222747,-0.428597823276317,0.668215929899179,0.999857848737763
"KNDC1",65.759924743075,0.239414730932127,0.311532156623351,0.768507281967633,0.442185866102774,0.999857848737763
"VENTX",0.34676513851135,-1.89426915370545,3.01620758110671,-0.628030101631929,0.529984220909908,0.999857848737763
"ADAM8",25.9713085970986,0.095991026862252,0.367601382309484,0.26112803564334,0.79399377219329,0.999857848737763
"TUBGCP2",3700.51874394304,0.0330535397596597,0.0668974732780933,0.494092499162949,0.62124085496983,0.999857848737763
"ZNF511",1278.95419657126,-0.0247075230326998,0.199789710339757,-0.123667645299064,0.901578430273407,0.999857848737763
"CALY",2.42103340139254,-0.626078818426449,0.924908327924535,-0.676909050901671,0.49846366116108,0.999857848737763
"BANF1P2",17.5254896949397,-0.405509306623753,0.331459422376788,-1.2234055792289,0.221176547133916,0.999857848737763
"PRAP1",487.087455599494,0.147512841623204,0.35815222639698,0.411871910185192,0.680433310492413,0.999857848737763
"FUOM",2323.4486483475,0.170098647898363,0.272573101197099,0.624047813783959,0.532596184697836,0.999857848737763
"ECHS1",10255.1214859321,0.0173232745441755,0.161100690698141,0.107530727950972,0.914367949261813,0.999857848737763
"MIR3944",0.311537051162207,0.115706390445231,2.33112499233572,0.0496354295997216,0.960412912679226,0.999857848737763
"PAOX",195.309430242603,0.192341359381677,0.201774300832488,0.953250035252795,0.34046340049523,0.999857848737763
"MTG1",2525.52236688873,0.105344124422864,0.236740732861884,0.444976760650318,0.65633654857168,0.999857848737763
"SPRN",9.24267170530321,-1.02952819367369,0.524577495254792,-1.9625855149841,0.0496943551809867,0.999857848737763
"SCART1",88.9630810087953,-0.0186426594971715,0.511290887164459,-0.0364619436121008,0.970914023116228,0.999857848737763
"LOC105378576",1.48539928451445,-0.628088136301755,1.28337670802187,-0.489402785928583,0.62455656410255,0.999857848737763
"LOC105378575",2.29547526653628,-0.838794678710069,1.10151724699451,-0.761490281698924,0.446364281331905,0.999857848737763
"LOC107984284",0.0410037163096837,-0.204895908722381,3.0414330302705,-0.0673682131689606,0.946288573897463,0.999857848737763
"CYP 20.00",1.08503901371568,-0.275034596699342,1.40043944458327,-0.196391638184102,0.844303640586858,0.999857848737763
"SPRNP1",0.910875239646023,-0.546700350947422,1.31223845707053,-0.416616620250474,0.67695885059525,0.999857848737763
"FRG2B",0.960856045532092,3.45109016380932,2.68439319045318,1.28561276942694,0.198578237990081,0.999857848737763
"SEPTIN14P11",0.196174062507312,-0.525490358188564,3.0414330302705,-0.17277722473535,0.862826539818964,0.999857848737763
"LINC01001",3.81061858829583,-0.692490377733477,0.876387816347424,-0.79016431403578,0.429431813916715,0.999857848737763
"LOC112268070",2.29484231899655,1.02932313385754,1.09897987302215,0.936616910942097,0.348955650011462,0.999857848737763
"LOC388572",1.06742840944411,-1.03651953825506,1.38132234428575,-0.750382083184949,0.453024618629554,0.999857848737763
"BET1L",1355.36808643403,-0.035878721766268,0.0976567396634042,-0.367396268705386,0.713323454435429,0.999857848737763
"RIC8A",3015.2423669553,-0.0267238811111308,0.124421464890314,-0.214785134821308,0.829934843123956,0.999857848737763
"SIRT3",404.036936765592,0.0463291433938619,0.242096885614392,0.191366127144875,0.848238756239269,0.999857848737763
"PSMD13",5306.73801804792,0.0693050411043984,0.215310713742966,0.321883848228442,0.747540689784073,0.999857848737763
"LOC100420679",4.69269688574201,-0.0222170845682386,0.680508340396503,-0.0326477770357577,0.973955469553299,0.999857848737763
"NLRP6",0.675157520396411,1.15764853132966,2.06768993241472,0.559875304890476,0.575564494151446,0.999857848737763
"PGGHG",137.561754769991,0.0802269069972757,0.211815471318229,0.378758484911348,0.704867218622927,0.999857848737763
"IFITM5",0.291994950420847,-0.204894425888286,3.0414330302705,-0.0673677256244118,0.946288962019995,0.999857848737763
"IFITM2",4.81565580636736,-0.00767893932697375,0.685513551982164,-0.0112017323432485,0.991062497620657,0.999857848737763
"IFITM1",35.9154007528998,-0.147104542208219,0.450426398019545,-0.326589522405914,0.743978369278193,0.999857848737763
"IFITM3",352.027479927649,-0.0982449970950476,0.221291770840955,-0.443961367030035,0.657070515417243,0.999857848737763
"LOC105376504",1.72412737075078,0.413385219572322,1.24005562537627,0.333360222810077,0.738862385179435,0.999857848737763
"LOC105376505",0.33266257997569,1.96325671004501,3.02164495680023,0.64973110279773,0.515865929517655,0.999857848737763
"B4GALNT4",285.781170743995,0.0282890683972383,0.236828961195688,0.119449362334801,0.904919355714283,0.999857848737763
"PKP3",4911.42856119995,0.117659021411143,0.224226584550229,0.524732701285857,0.599769021093023,0.999857848737763
