"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"USP19",1084.70737733043,-0.0198542939828176,0.0991911666543119,-0.200161916151377,0.841353950916641,0.915548716585541
"LAMB2",807.091668234151,-0.97685631174684,0.139577208544078,-6.99868067241331,2.58384010229512e-12,1.66034173059836e-10
"LAMB2P1",0.665338252373787,0.255391183798461,3.61855567811556,0.0705782103459193,0.943733452782164,NA
"CCDC71",359.210953951788,-0.0596679991757279,0.179708267545809,-0.332027012393951,0.739868862004128,0.857935128511082
"KLHDC8B",200.295987833119,-0.14212295123778,0.207665114823914,-0.684385296771152,0.493731898036592,0.68264609516362
"C3orf84",0,NA,NA,NA,NA,NA
"IHO1",0.348537681550434,2.04886126304404,4.04092357296047,0.507027966763301,0.612135195737358,NA
"C3orf62",74.6401322230716,-0.449680485919102,0.304841237004605,-1.47513010489558,0.140177568153581,0.294042737468759
"MIR4271",0,NA,NA,NA,NA,NA
"USP4",685.40475887024,0.3092574861261,0.120553197350423,2.56531965076922,0.0103080793286632,0.0388226667270742
"LOC107986084",5.52888397220611,0.319337495865573,1.2623149985534,0.252977661068378,0.800285475721761,0.892778502191394
"GPX1",1107.76299020437,-0.239758946363927,0.102092558963921,-2.34844682900598,0.0188518905896464,0.0630150662951366
"RHOA",11115.7954682682,0.0138464703952727,0.0640428015364057,0.216206506634497,0.828826781932654,0.907793472529301
"TCTA",708.509114079272,-0.188421440496107,0.129161006464974,-1.45881056251449,0.144617254625871,0.300482517944865
"AMT",3.1490998811623,0.061249321051115,1.74286159451471,0.0351429632989128,0.971965742796501,NA
"NICN1",68.6754497246581,-0.363333253069266,0.326403951924739,-1.11313987139789,0.265648361941491,0.458011570267507
"DAG1",4698.07563425234,0.105686183167606,0.08463852626185,1.2486770249359,0.211783227388753,0.394262668169018
"BSN-DT",0.348537681550434,2.04886126304404,4.04092357296047,0.507027966763301,0.612135195737358,NA
"BSN",23.2779712624908,0.385086823580322,0.564545112861531,0.682118779894167,0.495163846526186,0.683718828562445
"APEH",4809.02487286193,-0.128352491701228,0.0742969506890099,-1.72756069409203,0.0840670148593443,0.201515623902848
