"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","diffexpressed","difflabel"
"BMP2K",638.136035277521,-0.455050375575362,0.439976053483263,-1.03426168759131,0.301013842477764,0.547106238668082,"NO",NA
"LOC105377299",5.87362419663503,6.25373639447197,1.63862390173788,3.81645622759404,0.000135382079161358,0.00574026006001643,"UP",NA
"PAQR3",527.556461568381,-0.910533400149945,0.419700999811458,-2.16948113194628,0.0300461753048092,0.154131410523733,"NO",NA
"RN7SL127P",3.0781369495346,5.32155008797755,2.739848187871,1.94227917865503,0.0521033122352385,0.210090464756648,"NO",NA
"LINC01088",0,NA,NA,NA,NA,NA,"NO",NA
"NAA11",0,NA,NA,NA,NA,NA,"NO",NA
"LOC105377300",0,NA,NA,NA,NA,NA,"NO",NA
"GK2",0,NA,NA,NA,NA,NA,"NO",NA
"LINC00989",0,NA,NA,NA,NA,NA,"NO",NA
"LOC107986294",1.05591070299293,3.76882480927975,3.77210623246702,0.999130081979394,0.317731680363455,NA,"NO",NA
"LINC02469",0,NA,NA,NA,NA,NA,"NO",NA
"LOC105377302",0.527955351496466,2.75070523409379,4.01287329660196,0.685470243085683,0.493047231863197,NA,"NO",NA
"PCAT4",0,NA,NA,NA,NA,NA,"NO",NA
"ANTXR2",39.2685556482581,-1.95297840688427,0.561433135181969,-3.47855921658645,0.000504117042943034,0.0140582626038052,"DOWN",NA
"KPNA2P1",0,NA,NA,NA,NA,NA,"NO",NA
"RPSAP39",0,NA,NA,NA,NA,NA,"NO",NA
"LOC105377303",0,NA,NA,NA,NA,NA,"NO",NA
"PRDM8",0,NA,NA,NA,NA,NA,"NO",NA
"FGF5",0,NA,NA,NA,NA,NA,"NO",NA
"CFAP299",0,NA,NA,NA,NA,NA,"NO",NA
"LOC100419739",0,NA,NA,NA,NA,NA,"NO",NA
"LOC105377305",0,NA,NA,NA,NA,NA,"NO",NA
"BMP3",0.870319029845094,3.55956647592104,3.96800511644479,0.897067007592545,0.369683162385694,NA,"NO",NA
"PRKG2",63.6759472992827,-0.958919157372922,0.482983179851868,-1.9854090108625,0.0470989842550701,0.198167295993067,"NO",NA
"PRKG2-AS1",4.54734539126819,-0.6562484999654,1.70092590752698,-0.385818392830255,0.69963117249577,0.848742335794495,"NO",NA
"RASGEF1B",109.918481382488,1.43354242700895,0.348700812218383,4.11109574964556,3.9378584536194e-05,0.00237324079445333,"UP",NA
"LOC105377306",0.32636963619191,2.25668712309489,4.04702523065544,0.557616272317977,0.577106442424681,NA,"NO",NA
"LOC107986215",139.564302407002,0.201316392254791,0.34733483310159,0.579603233160059,0.562182212220583,0.762086593648315,"NO",NA
"COX5BP1",0.217579757461274,1.90962687844689,4.05481091811891,0.470953372921466,0.637674032345537,NA,"NO",NA
"HNRNPA3P13",0,NA,NA,NA,NA,NA,"NO",NA
"LOC105377308",2.44470382454667,-0.505058711329865,2.02367430568433,-0.249575097095021,0.802915958889572,NA,"NO",NA
"BIN2P1",0,NA,NA,NA,NA,NA,"NO",NA
"VAMP9P",0.217579757461274,1.90962687844689,4.05481091811891,0.470953372921466,0.637674032345537,NA,"NO",NA
"HNRNPD",12851.5141239434,-0.197219604672654,0.202592159160535,-0.973480935737382,0.33031433071735,0.575027173058226,"NO",NA
"LOC101928963",5.88648795612435,0.0753379200723688,1.1857073544053,0.0635383763054711,0.949337801092454,0.97834883807208,"NO",NA
"IGBP1P4",0,NA,NA,NA,NA,NA,"NO",NA
"HNRNPDL",6357.87830608392,0.369291089941987,0.199895002458663,1.84742532529474,0.0646855215745166,0.235837432208925,"NO",NA
"ENOPH1",2735.59376577101,-0.733506628680801,0.216370732952706,-3.39004549585332,0.0006988102520094,0.0176918077671865,"NO",NA
"LOC105377310",0.893561440496556,-1.97953544859331,3.51664061389689,-0.562905245640022,0.57349940803271,NA,"NO",NA
